date,or_week,cn_share,us_share,spi,total_tokens
2026-07-12,2026-07-06,0.5673,0.3374,1.682,49279352975752
2026-07-12,2026-07-06,0.5673,0.3374,1.682,49279352975752
2026-07-12,2026-07-06,0.5678,0.337,1.685,49754831336746
2026-07-12,2026-07-06,0.5699,0.3355,1.699,52145866018074
2026-07-13,2026-07-06,0.57,0.3353,1.7,52474748064801
2026-07-13,2026-07-13,0.6013,0.3233,1.86,1299219426211
2026-07-13,2026-07-13,0.5989,0.3298,1.816,2805440264995
2026-07-13,2026-07-13,0.5947,0.3356,1.772,4391279047738
2026-07-13,2026-07-13,0.5923,0.3381,1.752,5809893413370
2026-07-13,2026-07-13,0.5924,0.3377,1.754,6442896684517
2026-07-13,2026-07-13,0.5922,0.3367,1.759,7361895212225
2026-07-13,2026-07-13,0.5919,0.3363,1.76,7967488304005
2026-07-13,2026-07-13,0.5919,0.3363,1.76,7985311394065
2026-07-13,2026-07-13,0.5919,0.3363,1.76,8326720805367
2026-07-14,2026-07-13,0.5938,0.3346,1.774,10114572833851
2026-07-14,2026-07-13,0.5952,0.3337,1.784,11160257722939
2026-07-14,2026-07-13,0.5947,0.3344,1.778,11964645139464
2026-07-14,2026-07-13,0.5941,0.3352,1.772,13361571401322
2026-07-14,2026-07-13,0.595,0.3342,1.78,14421026707846
2026-07-14,2026-07-13,0.5953,0.3339,1.783,14833189384855
2026-07-14,2026-07-13,0.5959,0.3331,1.789,15346650100658
2026-07-14,2026-07-13,0.5962,0.3327,1.792,15943153358649
2026-07-14,2026-07-13,0.5968,0.3319,1.798,16705095685337
2026-07-14,2026-07-13,0.5969,0.3317,1.799,16896578552772
2026-07-14,2026-07-13,0.5974,0.3312,1.804,17642198957112
2026-07-14,2026-07-13,0.5974,0.3311,1.804,17723139365609
2026-07-15,2026-07-13,0.5976,0.331,1.806,19084697605431
2026-07-15,2026-07-13,0.5983,0.3308,1.809,20571546275220
2026-07-15,2026-07-13,0.5987,0.331,1.809,21727914889224
2026-07-15,2026-07-13,0.5993,0.3306,1.813,22644503506937
2026-07-15,2026-07-13,0.6,0.3298,1.819,23685720387572
2026-07-15,2026-07-13,0.6003,0.3294,1.822,24267613768853
2026-07-15,2026-07-13,0.6007,0.3289,1.826,24946107764678
2026-07-15,2026-07-13,0.6009,0.3286,1.829,25405250963814
